ID,章,分野,問題文,正解,解説,EXP,出典,年度,問題番号
1,第1章,医薬品の本質,法では、健康被害の発生の可能性の有無にかかわらず、異物等の混入、変質等がある医薬品を販売してはならない旨を定めている。,〇,その通りである,10,関西広域連合,令和５年度,1
2,第1章,医薬品の本質,一般用医薬品には、添付文書や製品表示に必要な情報が記載されている ので、販売時に専門家は専門用語を分かりやすい表現で伝えるなどの情報 提供を行う必要はない。,✕,その通りである,10,関西広域連合,令和５年度,1
3,第1章,医薬品の本質,医薬品は、効能効果、用法用量、副作用等の必要な情報が適切に伝達され ることを通じて、購入者等が適切に使用することにより、初めてその役割を 十分に発揮するものである。,〇,その通りである,10,関西広域連合,令和５年度,1
4,第1章,医薬品の本質,医薬品は、人の疾病の診断、治療若しくは予防に使用されるなど、その有 用性が認められたものであり、使用に際して保健衛生上のリスクは伴わない。,✕,その通りである,10,関西広域連合,令和５年度,1
5,第1章,医薬品のリスク評価,医薬品は、治療量上限を超えると、効果よりも有害反応が強く発現する 「中毒量」となり、「最小致死量」を経て、「致死量」に至る。,〇,その通りである,10,関西広域連合,令和５年度,2
6,第1章,医薬品のリスク評価,医薬品は、少量の投与でも長期投与されれば慢性的な毒性が発現する場 合がある。,〇,その通りである,10,関西広域連合,令和５年度,2
7,第1章,医薬品のリスク評価,ヒトを対象とした臨床試験の実施の基準には、国際的に Good Clinical Practice（ＧＣＰ）が制定されている。,〇,その通りである,10,関西広域連合,令和５年度,2
8,第1章,医薬品のリスク評価,医薬品の製造販売後の調査及び試験の実施の基準として、Good Vigilance Practice（ＧＶＰ）が制定されている。,✕,その通りである,10,関西広域連合,令和５年度,2
9,第1章,健康食品,「特定保健用食品」は、身体の生理機能などに影響を与える保健機能成分 を含むものであり、特定の保健機能を示す有効性や安全性などに関して、国 への届出が必要である。,✕,その通りである,10,関西広域連合,令和５年度,3
10,第1章,健康食品,「栄養機能食品」は、国が定めた規格基準に適合したものであれば、身体 の健全な成長や発達、健康維持に必要な栄養成分（ビタミン、ミネラルなど） の健康機能を表示することができる。,〇,その通りである,10,関西広域連合,令和５年度,3
